Designator,Mid X,Mid Y,Rotation,Layer
C1,109.0,-87.0,270.0,top
C10,120.0,-99.0,90.0,top
C11,130.5,-97.0,180.0,bottom
C12,118.0,-103.0,90.0,top
C13,111.0,-100.0,90.0,top
C14,97.0,-87.0,270.0,top
C15,104.9625,-109.0,180.0,bottom
C16,97.0,-98.0,270.0,bottom
C17,99.0,-87.0,270.0,top
C18,107.5,-106.5,0.0,top
C19,130.9625,-90.0,0.0,top
C2,114.0,-85.9625,270.0,top
C21,120.0,-103.0,270.0,top
C22,117.5,-94.4625,90.0,top
C23,117.5,-90.4625,270.0,top
C24,130.9625,-88.0,0.0,top
C25,100.0,-116.925,90.0,bottom
C26,102.0,-116.9625,90.0,bottom
C27,130.9625,-84.0,0.0,top
C28,125.6125,-81.05,0.0,top
C29,129.6125,-81.05,0.0,top
C3,130.0,-92.0,0.0,top
C30,69.0,-95.0,90.0,top
C31,112.0,-118.4625,90.0,top
C32,72.0,-92.0,90.0,top
C33,114.0,-118.4625,90.0,top
C34,103.9625,-103.0,0.0,top
C35,69.0,-86.0,90.0,top
C36,78.0,-96.0,90.0,top
C37,69.0,-91.15,90.0,top
C38,77.0,-86.0375,90.0,top
C39,107.625,-110.45,0.0,top
C4,130.0,-94.0,0.0,top
C40,69.0,-80.9625,0.0,top
C41,123.6875,-115.0,0.0,top
C42,96.0,-74.0,90.0,bottom
C43,74.0,-82.0,90.0,top
C44,94.0,-74.0,270.0,bottom
C45,77.0,-90.0375,90.0,top
C46,103.0,-118.825,270.0,top
C47,100.0,-83.0,180.0,bottom
C48,123.65,-107.9625,90.0,top
C49,102.0,-115.425,180.0,top
C5,118.0,-85.9625,270.0,top
C50,128.3375,-112.0,0.0,top
C6,106.0,-87.0375,90.0,top
C7,120.0,-85.9625,90.0,top
C8,103.0,-87.0375,90.0,top
C9,120.0,-93.0,90.0,top
D1,119.5,-76.54,90.0,top
D2,118.0,-106.5,180.0,top
D3,99.0,-109.0,180.0,bottom
D4,118.0,-109.0,180.0,top
D5,125.5,-119.0,270.0,bottom
D6,128.3,-115.0,180.0,top
D7,126.5,-88.0,0.0,top
J1,109.0,-74.0,90.0,top
J10,105.0,-78.0,180.0,top
J11,84.6,-78.0,180.0,top
J2,87.0,-116.0,270.0,top
J3,116.0,-77.0,270.0,top
J4,131.0,-83.0,180.0,bottom
J5,133.0,-117.0,270.0,bottom
J6,123.0,-78.3,90.0,top
J7,131.0,-89.0,180.0,bottom
J8,112.0,-111.5,180.0,top
J9,84.155,-102.28,270.0,top
L1,107.625,-114.425,180.0,top
L2,124.0,-119.0,0.0,top
Q1,122.45,-119.0,90.0,bottom
R1,118.0,-99.0,270.0,top
R10,132.45,-113.625,270.0,bottom
R11,134.45,-113.625,90.0,bottom
R12,114.3,-108.0,90.0,top
R13,114.3,-113.0,270.0,top
R14,124.45,-112.625,90.0,bottom
R15,104.0,-97.0,0.0,top
R16,104.0,-99.0,0.0,top
R17,104.0,-101.0,0.0,top
R18,104.0,-95.0,0.0,top
R19,104.0,-93.0,0.0,top
R2,120.4,-112.625,270.0,bottom
R20,119.65,-113.0,90.0,top
R21,117.65,-113.0,270.0,top
R22,99.0,-118.825,90.0,top
R23,101.0,-118.825,270.0,top
R24,100.0,-81.0,180.0,bottom
R25,100.0,-74.0,180.0,bottom
R26,125.65,-108.0,90.0,top
R27,121.65,-108.0,270.0,top
R28,94.0,-119.0,90.0,top
R29,96.0,-119.0,90.0,top
R3,122.4,-112.625,270.0,bottom
R30,78.0,-82.0,270.0,top
R4,93.0,-107.0,0.0,bottom
R5,93.0,-103.0,0.0,bottom
R6,119.5,-79.5,180.0,top
R7,100.0,-113.0,270.0,bottom
R8,102.0,-113.0,90.0,bottom
R9,130.45,-113.625,90.0,bottom
SW1,130.5,-102.5,0.0,bottom
U10,112.0,-95.0,180.0,bottom
U2,115.0,-100.0,90.0,top
U3,96.0,-115.0,0.0,top
U4,125.65,-85.05,0.0,top
U5,96.0,-116.0,270.0,bottom
U6,127.5,-113.625,90.0,bottom
U7,91.0,-88.0,180.0,bottom
U8,107.675,-119.115,180.0,top
U9,123.65,-112.0,180.0,top
Y1,126.3,-93.0,90.0,top
Y2,111.0,-92.0,180.0,top
